@relation semantic_similarity

@attribute lexama1 string
@attribute lexama2 string
@attribute sim1 numeric
@attribute sim2 numeric
@attribute sim3 numeric
@attribute sim4 numeric
@attribute sim5 numeric
@attribute sim6 numeric
@attribute sim7 numeric
@attribute sim8 numeric
@attribute sim9 numeric
@attribute sim10 numeric
@attribute sim11 numeric
@attribute sim12 numeric
@attribute sim13 numeric
@attribute sim14 numeric
@attribute sim15 numeric
@attribute sim16 numeric
@attribute sim17 numeric
@attribute sim18 numeric
@attribute sim19 numeric
@attribute sim20 numeric
@attribute sim21 numeric
@attribute sim22 numeric
@attribute sim23 numeric
@attribute sim24 numeric
@attribute class {similar, not_similar}

@data
"acne","apple",0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,not_similar
"adaptation","axe",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,not_similar
"addition","alligator",0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,not_similar
"ambulance","battleship",0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,not_similar
"ant","antenna",0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,not_similar
"apricot","banana",0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,not_similar
"artifact","axe",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,similar
"bat","battleship",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,not_similar
"abandonment","battleship",0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,not_similar
"artifact","battleship",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,similar
"bag","everybody",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,not_similar
"ambulance","barge",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,not_similar
"anchor","battleship",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.0,not_similar
"ambulance","back",0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,not_similar
"ambulance","t",0.0,0.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,not_similar
"apple","backdrop",0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,not_similar
